Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Geometry Foundation Type	Dependency=Geometry Stories Low Rise	Dependency=Vintage ACS	Option=1 Car	Option=2 Car	Option=3 Car	Option=None	source_count	source_weight	fallback_count	fallback_weight
East North Central	Multi-Family with 5+ Units	0-1499	Slab	2	1940-59	0	0	0	1	37	16038.9	37	16038.9
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	2	1940-59	0	0	0	1	4	1636.45	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Slab	3	1940-59	0	0	0	1	37	16038.9	37	16038.9
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	3	1940-59	0	0	0	1	4	1636.45	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	0-1499	Slab	4+	1940-59	0	0	0	1	37	16038.9	37	16038.9
East North Central	Multi-Family with 5+ Units	1500-2499	Slab	4+	1940-59	0	0	0	1	4	1636.45	16	11182.5
East North Central	Multi-Family with 5+ Units	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Multi-Family with 5+ Units	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Slab	1	1940-59	0	0	0	1	0	0	14	55558.2
East North Central	Single-Family Attached	1500-2499	Slab	1	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Slab	1	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Slab	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Slab	2	1940-59	0	0	0	1	0	0	14	55558.2
East North Central	Single-Family Attached	1500-2499	Slab	2	1940-59	0	0	0	1	1	1989.11	10	43021.8
East North Central	Single-Family Attached	2500-3999	Slab	2	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Slab	2	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Slab	3	1940-59	0	0	0	1	1	902.448	14	55558.2
East North Central	Single-Family Attached	1500-2499	Slab	3	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Slab	3	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Slab	3	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Attached	0-1499	Slab	4+	1940-59	0	0	0	1	0	0	14	55558.2
East North Central	Single-Family Attached	1500-2499	Slab	4+	1940-59	0	0	0	1	0	0	10	43021.8
East North Central	Single-Family Attached	2500-3999	Slab	4+	1940-59	0	0	0	1	0	0	4	10697.5
East North Central	Single-Family Attached	4000+	Slab	4+	1940-59	0	0	0	1	0	0	0	0
East North Central	Single-Family Detached	0-1499	Slab	1	1940-59	0.295817	0	0	0.704183	22	113932	22	113932
East North Central	Single-Family Detached	1500-2499	Slab	1	1940-59	0.502984	0.12061	0	0.376406	16	85980.2	16	85980.2
East North Central	Single-Family Detached	2500-3999	Slab	1	1940-59	0.145665	0.323397	0	0.530938	4	12874	68	468009
East North Central	Single-Family Detached	4000+	Slab	1	1940-59	0.155329	0.24431	0.322309	0.278052	1	4804.64	15	92948.4
East North Central	Single-Family Detached	0-1499	Slab	2	1940-59	0.0889297	0	0	0.91107	13	44686	13	44686
East North Central	Single-Family Detached	1500-2499	Slab	2	1940-59	0	0.410457	0	0.589543	19	57180.5	19	57180.5
East North Central	Single-Family Detached	2500-3999	Slab	2	1940-59	0.0526197	0.424903	0	0.522477	11	14698.2	11	14698.2
East North Central	Single-Family Detached	4000+	Slab	2	1940-59	0.0956797	0.52563	0.0396305	0.33906	3	5979.66	25	162820
East North Central	Single-Family Detached	0-1499	Slab	3	1940-59	0	0	0	1	1	2512.25	172	1.27371e+06
East North Central	Single-Family Detached	1500-2499	Slab	3	1940-59	0.109716	0.148459	0	0.741825	0	0	343	2.4153e+06
East North Central	Single-Family Detached	2500-3999	Slab	3	1940-59	0.13203	0.258101	0.0159367	0.593932	0	0	163	1.08968e+06
East North Central	Single-Family Detached	4000+	Slab	3	1940-59	0.114207	0.438871	0.138537	0.308385	0	0	41	262823
East North Central	Single-Family Detached	0-1499	Slab	4+	1940-59	0	0	0	1	0	0	172	1.27371e+06
East North Central	Single-Family Detached	1500-2499	Slab	4+	1940-59	0.109716	0.148459	0	0.741825	0	0	343	2.4153e+06
East North Central	Single-Family Detached	2500-3999	Slab	4+	1940-59	0.13203	0.258101	0.0159367	0.593932	0	0	163	1.08968e+06
East North Central	Single-Family Detached	4000+	Slab	4+	1940-59	0.114207	0.438871	0.138537	0.308385	0	0	41	262823
East North Central	Mobile Home	0-1499	Unheated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	1500-2499	Unheated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	2500-3999	Unheated Basement	1	1940-59	0	0	0	1	0	0	0	0
East North Central	Mobile Home	4000+	Unheated Basement	1	1940-59	0	0	0	1	0	0	0	0
