Input Name,Input Description,Data Type
report_simulation_output.include_timeseries_emission_end_uses,Generates timeseries emissions for each end use. Requires the appropriate HPXML inputs to be specified.,bool
report_simulation_output.include_timeseries_hot_water_uses,Generates timeseries hot water usages for each end use.,bool
report_simulation_output.include_timeseries_total_loads,"Generates timeseries total heating, cooling, and hot water loads.",bool
report_simulation_output.include_timeseries_component_loads,Generates timeseries heating and cooling loads disaggregated by component type.,bool
report_simulation_output.include_timeseries_unmet_hours,Generates timeseries unmet hours for heating and cooling.,bool
report_simulation_output.include_timeseries_zone_temperatures,Generates timeseries temperatures for each thermal zone.,bool
report_simulation_output.include_timeseries_zone_conditions,Generates timeseries temperatures and humidities for each thermal zone.,bool
report_simulation_output.include_timeseries_airflows,Generates timeseries airflows.,bool
report_simulation_output.include_timeseries_weather,Generates timeseries weather data.,bool
report_simulation_output.include_timeseries_resilience,Generates timeseries resilience outputs.,bool
report_simulation_output.timeseries_timestamp_convention,Determines whether timeseries timestamps use the start-of-period or end-of-period convention. Doesn't apply if the output format is 'csv_dview'.,string
report_simulation_output.timeseries_num_decimal_places,"Allows overriding the default number of decimal places for timeseries output. Does not apply if output format is msgpack, where no rounding is performed because there is no file size penalty to storing full precision.",int
report_simulation_output.add_timeseries_dst_column,"Optionally add, in addition to the default local standard Time column, a local clock TimeDST column. Requires that daylight saving time is enabled.",bool
report_simulation_output.add_timeseries_utc_column,"Optionally add, in addition to the default local standard Time column, a local clock TimeUTC column. If the time zone UTC offset is not provided in the HPXML file, the time zone in the EPW header will be used.",bool
report_simulation_output.user_output_variables,"Optionally generates timeseries EnergyPlus output variables. If multiple output variables are desired, use a comma-separated list. Do not include key values; by default all key values will be requested. Example: 'Zone People Occupant Count, Zone People Total Heating Energy'",string
report_simulation_output.user_output_meters,"Optionally generates timeseries EnergyPlus output meters. If multiple output meters are desired, use a comma-separated list. Example: 'Electricity:Facility, HeatingCoils:EnergyTransfer'",string
report_utility_bills.applicable,The measure was applied to the workflow.,bool
report_utility_bills.output_format,"The file format of the annual (and timeseries, if requested) outputs.",string
report_utility_bills.include_annual_bills,Generates output file containing annual utility bills.,bool
report_utility_bills.include_monthly_bills,Generates output file containing monthly utility bills.,bool
report_utility_bills.monthly_timestamp_convention,Determines whether monthly timestamps use the start-of-period or end-of-period convention.,string
report_utility_bills.register_annual_bills,Registers annual utility bills with the OpenStudio runner for downstream processing.,bool
report_utility_bills.register_monthly_bills,Registers monthly utility bills with the OpenStudio runner for downstream processing.,bool
upgrade_costs.applicable,The measure was applied to the workflow.,bool
upgrade_costs.debug,"If true, retain existing and upgraded intermediate files.",bool
upgrade_costs.upgrade_cost_usd,Total cost of the upgrade.,float
upgrade_costs.door_area_ft_2,"Total area of doors in the building in square feet.",float
upgrade_costs.duct_unconditioned_surface_area_ft_2,"Total unconditioned surface area of ducts in the building in square feet.",float
upgrade_costs.floor_area_attic_ft_2,"Total attic floor area in the building in square feet.",float
upgrade_costs.floor_area_attic_insulation_increase_ft_2_delta_r_value,"Total attic floor area in the building in square feet.",float
upgrade_costs.floor_area_conditioned_ft_2,"Total conditioned floor area in the building in square feet.",float
upgrade_costs.floor_area_conditioned_infiltration_reduction_ft_2_delta_ach_50,"Total conditioned floor area in the building in square feet.",float
upgrade_costs.floor_area_foundation_ft_2,"Total foundation floor area in the building in square feet.",float
upgrade_costs.floor_area_lighting_ft_2,"Total floor area in the building in square feet.",float
upgrade_costs.flow_rate_mechanical_ventilation_cfm,"Total flow rate of mechanical ventilation in cubic feet per minute.",float
upgrade_costs.rim_joist_area_above_grade_exterior_ft_2,"Total rim joist area above grade in the building in square feet.",float
upgrade_costs.roof_area_ft_2,"Total roof area in the building in square feet.",float
upgrade_costs.size_cooling_system_primary_k_btu_h,"Total size of primary cooling system in the building in kilowatt-hours.",float
upgrade_costs.size_heat_pump_backup_primary_k_btu_h,"Total size of primary heat pump backup in the building in kilowatt-hours.",float
upgrade_costs.size_heating_system_primary_k_btu_h,"Total size of primary heating system in the building in kilowatt-hours.",float
upgrade_costs.size_heating_system_secondary_k_btu_h,"Total size of secondary heating system in the building in kilowatt-hours.",float
upgrade_costs.size_water_heater_gal,"Total size of water heater in the building in gallons.",float
upgrade_costs.slab_perimeter_exposed_conditioned_ft,"Total perimeter of slab exposed in the building in feet.",float
upgrade_costs.upgrade_cost_usd,"Total cost of the upgrade in US dollars.",float
upgrade_costs.wall_area_above_grade_conditioned_ft_2,"Total wall area above grade in the building in square feet.",float
upgrade_costs.wall_area_above_grade_exterior_ft_2,"Total wall area above grade in the building in square feet.",float
upgrade_costs.wall_area_below_grade_ft_2,"Total wall area below grade in the building in square feet.",float
upgrade_costs.window_area_ft_2,"Total window area in the building in square feet.",float
upgrade_costs.option_<option_number>_name,"Name of the option.",string
qoi_report.applicable,The measure was applied to the workflow.,bool
