zipcode,zipcode_city,zipcode_state,zipcode_latitude,zipcode_longitude,zipcode_energystar_zone,zipcode_iecc_zone,zipcode_utc_offset,station_wmo,station_distance,station_name,station_state,station_altitude,station_latitude,station_longitude,station_filename
01440,Gardner,MA,42.5847,-71.987,northern,5A,-5,725095,36.48253429,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01441,Westminster,MA,42.575,-71.9988,northern,5A,-5,725095,35.70062126,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01451,Harvard,MA,42.5009,-71.5775,northern,5A,-5,725095,35.74232686,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01452,Hubbardston,MA,42.4838,-72.0053,northern,5A,-5,725095,26.34315846,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01453,Leominster,MA,42.5209,-71.7716,northern,5A,-5,725095,29.50542657,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01462,Lunenburg,MA,42.5909,-71.7208,northern,5A,-5,725095,38.20221711,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01464,Shirley,MA,42.5726,-71.6476,northern,5A,-5,725095,38.81012422,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01467,Still River,MA,42.4919,-71.6184,northern,5A,-5,725095,32.75808741,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01468,Templeton,MA,42.549,-72.066,northern,5A,-5,725095,35.02282774,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01473,Westminster,MA,42.5492,-71.9037,northern,5A,-5,725095,31.46151242,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01501,Auburn,MA,42.197,-71.8452,northern,5A,-5,725095,8.186301577,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01503,Berlin,MA,42.3838,-71.6355,northern,5A,-5,725095,23.65563318,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01505,Boylston,MA,42.3502,-71.718,northern,5A,-5,725095,15.94984819,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
01506,Brookfield,MA,42.1837,-72.1103,northern,5A,-5,725095,21.40073499,Worchester Rgnl AP,MA,310,42.267,-71.876,USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw
