field_location	field_name	units	field_description
metadata_and_annual	out.natural_gas.pool_heater.energy_consumption..kwh	kwh	
metadata_and_annual	out.natural_gas.range_oven.energy_consumption..kwh	kwh	
metadata_and_annual	out.propane.clothes_dryer.energy_consumption..kwh	kwh	
metadata_and_annual	out.propane.heating.energy_consumption..kwh	kwh	Excludes heat pump backup
metadata_and_annual	out.propane.hot_water.energy_consumption..kwh	kwh	
metadata_and_annual	out.propane.range_oven.energy_consumption..kwh	kwh	
metadata_and_annual	out.site_energy.net.energy_consumption..kwh	kwh	Subtracts any power produced by PV or generators.
metadata_and_annual	out.site_energy.total.energy_consumption..kwh	kwh	Includes any battery charging/discharging
metadata_and_annual	out.electricity.net.energy_consumption..kwh	kwh	Subtracts any power produced by PV or generators.
metadata_and_annual	out.electricity.total.energy_consumption..kwh	kwh	Includes any battery charging/discharging
metadata_and_annual	out.fuel_oil.total.energy_consumption..kwh	kwh	Includes 'fuel oil', 'fuel oil 1', 'fuel oil 2', 'fuel oil 4', 'fuel oil 5/6', 'kerosene', and 'diesel'
metadata_and_annual	out.natural_gas.total.energy_consumption..kwh	kwh	
metadata_and_annual	out.propane.total.energy_consumption..kwh	kwh	
metadata_and_annual	out.hot_water.clothes_washer..gal	gal	
metadata_and_annual	out.hot_water.dishwasher..gal	gal	
metadata_and_annual	out.hot_water.distribution_waste..gal	gal	
metadata_and_annual	out.hot_water.fixtures..gal	gal	Showers and faucets.
metadata_and_annual	out.capacity.cooling..btu_per_hr	btu_h	
metadata_and_annual	out.capacity.heat_pump_backup..btu_per_hr	btu_h	
metadata_and_annual	out.capacity.heating..btu_per_hr	btu_h	
metadata_and_annual	out.load.cooling.energy_delivered..kbtu	kbtu	Includes HVAC distribution losses.
metadata_and_annual	out.load.heating.energy_delivered..kbtu	kbtu	Includes HVAC distribution losses.
metadata_and_annual	out.load.hot_water.energy_delivered..kbtu	kbtu	Includes contributions by desuperheaters or solar thermal systems.
metadata_and_annual	out.load.hot_water.energy_solar_thermal..kbtu	kbtu	Water heater solar thermal energy.
metadata_and_annual	out.load.hot_water.energy_tank_losses..kbtu	kbtu	Water heater tank losses energy.
metadata_and_annual	out.load.cooling.peak..kbtu_per_hr	kbtu_hr	Includes HVAC distribution losses.
metadata_and_annual	out.load.heating.peak..kbtu_per_hr	kbtu_hr	Includes HVAC distribution losses.
metadata_and_annual	out.qoi.electricity.maximum_daily_peak_summer..kw	kw	Maximum value in Jun/Jul/Aug (or Dec/Jan/Feb in the southern hemisphere)
metadata_and_annual	out.qoi.electricity.maximum_daily_peak_winter..kw	kw	Maximum value in Dec/Jan/Feb (or Jun/Jul/Aug in the southern hemisphere)
metadata_and_annual	out.unmet_hours.cooling..hr	hr	Number of hours where the cooling setpoint is not maintained.
metadata_and_annual	out.unmet_hours.ev_driving..hr	hr	Number of hours that an EV user cannot drive to due to insufficient charge in battery.
metadata_and_annual	out.unmet_hours.heating..hr	hr	Number of hours where the heating setpoint is not maintained.
metadata_and_annual	out.emissions.electricity.lrmer_mid_case_25..co2e_kg	kg	Scenario total emissions for Electricity only, includes any battery charging/discharging
